CustomerID,Country,FirstPurchaseDate,LastPurchaseDate,Recency,Frequency,Monetary,TotalTransactions,TotalUnits,R_Score,F_Score,M_Score,RFM_Cell,RFM_Avg_Score,Customer_Segment
17675,United Kingdom,2010-12-07 13:22:00,2011-12-08 18:03:00,2,31,20374.28,705,8360,5,5,5,5-5-5,5.0,Champions
17381,United Kingdom,2010-12-02 12:58:00,2011-12-01 11:59:00,9,29,20275.61,109,25649,5,5,5,5-5-5,5.0,Champions
15039,United Kingdom,2010-12-06 11:26:00,2011-11-30 11:31:00,10,47,19914.44,1502,9209,5,5,5,5-5-5,5.0,Champions
12471,Germany,2010-12-10 09:35:00,2011-12-07 15:43:00,3,30,19824.05,460,8212,5,5,5,5-5-5,5.0,Champions
12731,France,2010-12-10 10:56:00,2011-11-16 11:59:00,24,12,18895.91,274,8437,4,5,5,4-5-5,4.67,Champions
15159,United Kingdom,2010-12-13 15:44:00,2011-12-08 12:05:00,2,30,18641.01,710,11441,5,5,5,5-5-5,5.0,Champions
12901,United Kingdom,2011-03-14 10:41:00,2011-12-01 10:07:00,9,28,17654.54,116,23075,5,5,5,5-5-5,5.0,Champions
12678,France,2010-12-21 11:00:00,2011-10-28 13:04:00,43,12,17628.46,165,10923,3,5,5,3-5-5,4.33,Loyal Customers
14031,United Kingdom,2010-12-02 16:34:00,2011-12-02 17:13:00,8,19,17286.86,250,5788,5,5,5,5-5-5,5.0,Champions
17428,United Kingdom,2010-12-06 09:37:00,2011-12-09 09:45:00,1,28,17256.85,328,9474,5,5,5,5-5-5,5.0,Champions
13767,United Kingdom,2010-12-01 10:47:00,2011-12-07 15:00:00,3,37,17220.36,368,7322,5,5,5,5-5-5,5.0,Champions
13881,United Kingdom,2011-02-01 10:14:00,2011-12-06 12:50:00,4,20,17159.52,178,10118,5,5,5,5-5-5,5.0,Champions
16839,United Kingdom,2010-12-05 11:15:00,2011-12-01 09:03:00,9,34,16594.35,266,8975,5,5,5,5-5-5,5.0,Champions
12921,United Kingdom,2010-12-01 15:06:00,2011-11-30 16:22:00,10,37,16587.09,720,9526,5,5,5,5-5-5,5.0,Champions
14607,United Kingdom,2011-03-23 15:22:00,2011-11-24 10:35:00,16,14,16569.5,86,11766,4,5,5,4-5-5,4.67,Champions
15856,United Kingdom,2010-12-09 13:34:00,2011-12-05 17:09:00,5,27,16387.57,645,11005,5,5,5,5-5-5,5.0,Champions
17677,United Kingdom,2010-12-06 08:42:00,2011-12-08 09:56:00,2,30,16363.23,304,9775,5,5,5,5-5-5,5.0,Champions
15189,United Kingdom,2011-01-11 12:29:00,2011-12-08 13:22:00,2,41,16225.39,212,6149,5,5,5,5-5-5,5.0,Champions
14051,United Kingdom,2010-12-08 12:49:00,2011-12-09 10:20:00,1,23,15610.39,210,3756,5,5,5,5-5-5,5.0,Champions
15513,United Kingdom,2010-12-01 11:22:00,2011-11-06 14:36:00,34,19,14758.22,308,5709,3,5,5,3-5-5,4.33,Loyal Customers
16133,United Kingdom,2011-01-25 15:55:00,2011-12-06 11:24:00,4,33,14589.04,338,8887,5,5,5,5-5-5,5.0,Champions
14866,United Kingdom,2010-12-08 14:58:00,2011-11-29 11:45:00,11,12,14389.9,99,6752,5,5,5,5-5-5,5.0,Champions
16705,United Kingdom,2010-12-16 10:51:00,2011-12-09 12:08:00,1,20,14034.99,270,5476,5,5,5,5-5-5,5.0,Champions
12681,France,2010-12-07 10:08:00,2011-11-25 11:33:00,15,22,13787.54,638,7536,4,5,5,4-5-5,4.67,Champions
12621,Germany,2010-12-09 10:16:00,2011-12-08 11:25:00,2,20,13689.67,467,7440,5,5,5,5-5-5,5.0,Champions
12540,Spain,2010-12-13 09:39:00,2011-11-20 11:31:00,20,17,13400.24,478,6685,4,5,5,4-5-5,4.67,Champions
12433,Norway,2010-12-01 13:24:00,2011-12-09 10:02:00,1,7,13375.87,420,11071,5,5,5,5-5-5,5.0,Champions
15498,United Kingdom,2010-12-08 12:29:00,2011-12-07 12:48:00,3,27,13316.4,512,6105,5,5,5,5-5-5,5.0,Champions
12477,Germany,2011-02-11 12:45:00,2011-11-17 09:51:00,23,6,13219.74,300,3653,4,5,5,4-5-5,4.67,Champions
17735,United Kingdom,2010-12-07 10:32:00,2011-12-07 16:47:00,3,19,13110.02,690,8439,5,5,5,5-5-5,5.0,Champions
16525,United Kingdom,2010-12-08 11:31:00,2011-12-07 15:07:00,3,26,13027.45,183,7397,5,5,5,5-5-5,5.0,Champions
14258,United Kingdom,2011-01-06 12:18:00,2011-11-30 15:27:00,10,9,12669.98,111,7100,5,5,5,5-5-5,5.0,Champions
13078,United Kingdom,2010-12-08 09:07:00,2011-12-06 15:36:00,4,26,12627.94,358,5630,5,5,5,5-5-5,5.0,Champions
12536,France,2011-10-11 14:52:00,2011-10-27 14:20:00,44,3,12601.83,261,2803,3,4,5,3-4-5,4.0,Loyal Customers
15640,United Kingdom,2010-12-02 15:40:00,2011-12-05 14:35:00,5,15,12515.66,484,6607,5,5,5,5-5-5,5.0,Champions
16000,United Kingdom,2011-12-07 12:14:00,2011-12-07 12:17:00,3,3,12393.7,9,5110,5,4,5,5-4-5,4.67,Champions
17340,United Kingdom,2010-12-08 15:56:00,2011-11-10 10:45:00,30,11,12353.29,407,5967,4,5,5,4-5-5,4.67,Champions
12682,France,2010-12-03 13:59:00,2011-12-06 10:00:00,4,31,12288.22,525,5575,5,5,5,5-5-5,5.0,Champions
13113,United Kingdom,2010-12-08 13:21:00,2011-12-09 12:49:00,1,24,12245.96,200,3045,5,5,5,5-5-5,5.0,Champions
14606,United Kingdom,2010-12-01 16:57:00,2011-12-08 19:28:00,2,93,12156.65,2700,6224,5,5,5,5-5-5,5.0,Champions
12557,Spain,2010-12-03 12:20:00,2011-11-23 16:59:00,17,5,11990.96,33,4384,4,4,5,4-4-5,4.33,Champions
12939,United Kingdom,2011-01-09 11:20:00,2011-10-06 14:33:00,65,8,11581.8,47,4876,3,5,5,3-5-5,4.33,Loyal Customers
15125,United Kingdom,2011-03-14 09:59:00,2011-11-14 13:57:00,26,15,11528.48,127,6193,4,5,5,4-5-5,4.67,Champions
14194,United Kingdom,2011-02-04 14:51:00,2011-12-05 10:38:00,5,21,11349.52,579,5840,5,5,5,5-5-5,5.0,Champions
12971,United Kingdom,2010-12-02 16:42:00,2011-12-06 12:20:00,4,86,11189.91,305,9289,5,5,5,5-5-5,5.0,Champions
14895,United Kingdom,2011-02-22 13:08:00,2011-12-02 09:23:00,8,20,11138.71,498,4851,5,5,5,5-5-5,5.0,Champions
12409,Switzerland,2011-06-10 12:19:00,2011-09-22 10:38:00,79,3,11072.67,109,5551,2,4,5,2-4-5,3.67,At-Risk
15482,United Kingdom,2010-12-16 10:08:00,2011-11-24 10:46:00,16,12,11054.96,98,5020,4,5,5,4-5-5,4.67,Champions
17581,United Kingdom,2010-12-02 14:47:00,2011-12-09 12:21:00,1,25,11045.04,440,5927,5,5,5,5-5-5,5.0,Champions
13319,United Kingdom,2010-12-09 10:04:00,2011-12-04 13:34:00,6,26,10845.55,476,4724,5,5,5,5-5-5,5.0,Champions
17107,United Kingdom,2011-03-06 15:17:00,2011-11-06 14:14:00,34,6,10815.43,418,4837,3,5,5,3-5-5,4.33,Loyal Customers
13340,United Kingdom,2011-03-08 11:39:00,2011-10-25 13:15:00,46,7,10736.48,134,5770,3,5,5,3-5-5,4.33,Loyal Customers
14769,United Kingdom,2010-12-17 11:40:00,2011-12-07 10:24:00,3,8,10674.75,1090,7436,5,5,5,5-5-5,5.0,Champions
17139,United Kingdom,2011-02-24 09:32:00,2011-11-24 10:12:00,16,12,10668.47,478,5182,4,5,5,4-5-5,4.67,Champions
16779,United Kingdom,2010-12-08 09:56:00,2011-12-07 14:54:00,3,22,10629.72,333,5325,5,5,5,5-5-5,5.0,Champions
17865,United Kingdom,2010-12-10 14:53:00,2011-11-09 12:08:00,31,20,10526.32,370,5757,4,5,5,4-5-5,4.67,Champions
17706,United Kingdom,2010-12-08 11:02:00,2011-12-05 13:34:00,5,17,10504.49,382,3899,5,5,5,5-5-5,5.0,Champions
15251,United Kingdom,2011-04-12 10:38:00,2011-11-30 15:02:00,10,11,10484.99,111,6171,5,5,5,5-5-5,5.0,Champions
14062,United Kingdom,2010-12-10 15:56:00,2011-11-30 10:04:00,10,12,10464.85,111,5593,5,5,5,5-5-5,5.0,Champions
15615,United Kingdom,2010-12-15 16:21:00,2011-11-29 14:42:00,11,23,10399.74,423,5508,5,5,5,5-5-5,5.0,Champions
15502,United Kingdom,2010-12-05 15:40:00,2011-11-24 12:48:00,16,12,10384.93,213,4236,4,5,5,4-5-5,4.67,Champions
16180,United Kingdom,2011-04-01 10:23:00,2011-08-31 16:28:00,101,8,10254.18,162,5867,2,5,5,2-5-5,4.0,At-Risk
16843,United Kingdom,2011-01-16 16:10:00,2011-10-28 09:06:00,43,16,10196.57,378,10159,3,5,5,3-5-5,4.33,Loyal Customers
12590,Germany,2011-05-12 14:46:00,2011-05-12 14:52:00,212,2,9864.26,68,4283,1,3,5,1-3-5,3.0,At-Risk
13001,United Kingdom,2011-01-17 12:45:00,2011-12-05 14:51:00,5,13,9818.82,339,5505,5,5,5,5-5-5,5.0,Champions
13199,United Kingdom,2010-12-08 10:51:00,2011-12-06 12:30:00,4,38,9817.12,119,6176,5,5,5,5-5-5,5.0,Champions
15078,United Kingdom,2010-12-06 12:38:00,2011-12-02 15:41:00,8,32,9743.11,440,5105,5,5,5,5-5-5,5.0,Champions
12709,Germany,2010-12-08 09:49:00,2011-11-24 15:38:00,16,15,9736.52,208,3936,4,5,5,4-5-5,4.67,Champions
13458,United Kingdom,2010-12-15 12:05:00,2011-12-02 15:29:00,8,14,9646.57,382,5508,5,5,5,5-5-5,5.0,Champions
14733,United Kingdom,2010-12-07 11:30:00,2011-11-23 15:39:00,17,12,9585.91,202,3764,4,5,5,4-5-5,4.67,Champions
16523,United Kingdom,2011-01-28 12:06:00,2011-12-08 09:06:00,2,21,9418.47,290,4265,5,5,5,5-5-5,5.0,Champions
12567,France,2010-12-05 11:57:00,2011-11-17 11:02:00,23,10,9401.28,446,4305,4,5,5,4-5-5,4.67,Champions
14367,United Kingdom,2011-03-08 14:12:00,2011-12-01 13:19:00,9,16,9261.52,524,4438,5,5,5,5-5-5,5.0,Champions
14667,United Kingdom,2010-12-06 13:13:00,2011-11-29 11:30:00,11,25,9241.2,573,5385,5,5,5,5-5-5,5.0,Champions
18092,United Kingdom,2010-12-09 10:00:00,2011-12-07 13:14:00,3,11,9068.26,89,4252,5,5,5,5-5-5,5.0,Champions
13969,United Kingdom,2010-12-09 19:32:00,2011-12-02 15:11:00,8,18,9053.94,626,4542,5,5,5,5-5-5,5.0,Champions
12451,Switzerland,2011-01-19 09:05:00,2011-11-29 08:40:00,11,5,9035.52,354,6575,5,4,5,5-4-5,4.67,Champions
13488,United Kingdom,2010-12-07 13:01:00,2011-11-22 14:41:00,18,13,8968.31,422,4518,4,5,5,4-5-5,4.67,Champions
13090,United Kingdom,2010-12-02 07:48:00,2011-12-01 12:39:00,9,14,8910.82,155,2263,5,5,5,5-5-5,5.0,Champions
16033,United Kingdom,2010-12-05 10:36:00,2011-12-04 12:44:00,6,20,8816.4,1137,3539,5,5,5,5-5-5,5.0,Champions
17017,United Kingdom,2010-12-02 10:17:00,2011-12-07 09:32:00,3,20,8694.26,252,6673,5,5,5,5-5-5,5.0,Champions
17243,United Kingdom,2010-12-05 10:03:00,2011-12-08 13:26:00,2,26,8676.85,400,3370,5,5,5,5-5-5,5.0,Champions
17306,United Kingdom,2010-12-21 13:34:00,2011-11-29 12:14:00,11,19,8631.31,66,11491,5,5,5,5-5-5,5.0,Champions
16656,United Kingdom,2010-12-10 11:23:00,2011-11-17 14:43:00,23,15,8625.8,73,8894,4,5,5,4-5-5,4.67,Champions
14527,United Kingdom,2010-12-05 13:17:00,2011-12-07 12:19:00,3,55,8508.82,972,2089,5,5,5,5-5-5,5.0,Champions
12683,France,2010-12-09 10:37:00,2011-12-05 16:31:00,5,15,8476.57,344,4987,5,5,5,5-5-5,5.0,Champions
18139,United Kingdom,2011-11-21 14:06:00,2011-11-22 10:44:00,18,6,8438.34,159,5557,4,5,5,4-5-5,4.67,Champions
15358,United Kingdom,2010-12-09 10:04:00,2011-12-05 09:04:00,5,22,8347.2,551,7050,5,5,5,5-5-5,5.0,Champions
16558,United Kingdom,2010-12-08 12:01:00,2011-12-09 10:20:00,1,20,8338.49,460,5377,5,5,5,5-5-5,5.0,Champions
14056,United Kingdom,2011-02-28 15:19:00,2011-12-08 13:36:00,2,23,8214.65,1106,4273,5,5,5,5-5-5,5.0,Champions
14936,Channel Islands,2011-03-09 11:53:00,2011-11-06 10:30:00,34,8,8137.02,364,4085,3,5,5,3-5-5,4.33,Loyal Customers
16672,United Kingdom,2011-03-18 10:15:00,2011-12-07 16:29:00,3,20,8134.94,114,2832,5,5,5,5-5-5,5.0,Champions
13854,United Kingdom,2010-12-09 10:48:00,2011-12-01 09:06:00,9,25,8109.52,110,2296,5,5,5,5-5-5,5.0,Champions
14952,United Kingdom,2010-12-10 12:48:00,2011-10-11 10:33:00,60,11,8099.49,138,3355,3,5,5,3-5-5,4.33,Loyal Customers
18109,United Kingdom,2010-12-05 10:58:00,2011-12-08 11:36:00,2,26,8052.97,444,4237,5,5,5,5-5-5,5.0,Champions
14796,United Kingdom,2010-12-08 10:40:00,2011-12-08 15:31:00,2,17,8022.49,1141,6025,5,5,5,5-5-5,5.0,Champions
12428,Finland,2011-03-01 09:33:00,2011-11-14 08:22:00,26,9,7956.46,294,3536,4,5,5,4-5-5,4.67,Champions
15290,United Kingdom,2010-12-15 16:03:00,2011-12-05 11:39:00,5,18,7943.22,204,4501,5,5,5,5-5-5,5.0,Champions
14849,United Kingdom,2010-12-01 12:22:00,2011-11-18 10:58:00,22,25,7930.54,388,5694,4,5,5,4-5-5,4.67,Champions
12757,Portugal,2011-05-12 19:01:00,2011-11-24 12:30:00,16,13,7857.1,371,2402,4,5,5,4-5-5,4.67,Champions
17811,United Kingdom,2011-01-10 10:58:00,2011-12-05 13:46:00,5,39,7837.73,851,4177,5,5,5,5-5-5,5.0,Champions
13093,United Kingdom,2010-12-01 15:00:00,2011-03-09 12:14:00,276,8,7832.47,159,3961,1,5,5,1-5-5,3.67,At-Risk
12435,Denmark,2011-03-17 07:40:00,2011-09-21 09:06:00,80,2,7829.89,36,2055,2,3,5,2-3-5,3.33,At-Risk
13629,United Kingdom,2011-01-05 12:09:00,2011-11-16 13:21:00,24,11,7792.36,59,4372,4,5,5,4-5-5,4.67,Champions
15044,United Kingdom,2010-12-12 14:27:00,2011-11-20 13:20:00,20,17,7700.23,453,2795,4,5,5,4-5-5,4.67,Champions
15194,United Kingdom,2010-12-06 15:00:00,2011-12-06 15:10:00,4,15,7616.53,310,5703,5,5,5,5-5-5,5.0,Champions
18172,United Kingdom,2011-02-23 10:44:00,2011-11-25 11:12:00,15,20,7561.68,189,3184,4,5,5,4-5-5,4.67,Champions
13263,United Kingdom,2011-01-18 16:31:00,2011-12-08 13:59:00,2,35,7454.07,1677,4780,5,5,5,5-5-5,5.0,Champions
12474,Germany,2011-01-14 10:06:00,2011-11-22 14:39:00,18,18,7375.79,424,4847,4,5,5,4-5-5,4.67,Champions
12980,United Kingdom,2010-12-16 11:36:00,2011-07-05 09:34:00,158,9,7374.9,20,886,2,5,5,2-5-5,4.0,At-Risk
15465,United Kingdom,2010-12-05 10:12:00,2011-11-20 10:11:00,20,18,7354.62,97,1257,4,5,5,4-5-5,4.67,Champions
17396,United Kingdom,2010-12-03 09:45:00,2011-10-31 14:12:00,40,8,7330.8,27,2005,3,5,5,3-5-5,4.33,Loyal Customers
12583,France,2010-12-01 08:45:00,2011-12-07 08:07:00,3,15,7281.38,247,5060,5,5,5,5-5-5,5.0,Champions
13018,United Kingdom,2011-02-17 11:05:00,2011-11-23 13:28:00,17,28,7277.7,458,5435,4,5,5,4-5-5,4.67,Champions
18229,United Kingdom,2010-12-01 16:25:00,2011-11-28 09:48:00,12,20,7276.9,164,2488,5,5,5,5-5-5,5.0,Champions
16923,United Kingdom,2010-12-12 11:06:00,2011-11-27 13:00:00,13,19,7247.61,672,3417,5,5,5,5-5-5,5.0,Champions
16729,United Kingdom,2011-04-12 14:22:00,2011-11-01 14:29:00,39,21,7239.92,660,5783,3,5,5,3-5-5,4.33,Loyal Customers
16745,United Kingdom,2011-02-01 11:31:00,2011-09-14 11:58:00,87,17,7194.3,357,6735,2,5,5,2-5-5,4.0,At-Risk
16873,United Kingdom,2010-12-10 15:45:00,2011-12-05 12:05:00,5,6,7123.62,279,3840,5,5,5,5-5-5,5.0,Champions
13324,United Kingdom,2010-12-14 09:50:00,2011-11-03 16:28:00,37,10,7121.95,75,5205,3,5,5,3-5-5,4.33,Loyal Customers
13985,United Kingdom,2011-03-20 13:48:00,2011-12-05 17:06:00,5,15,7060.13,349,3445,5,5,5,5-5-5,5.0,Champions
14961,United Kingdom,2010-12-14 11:38:00,2011-11-29 09:42:00,11,9,7044.68,312,3708,5,5,5,5-5-5,5.0,Champions
12766,Portugal,2010-12-08 13:53:00,2011-12-06 08:46:00,4,7,6989.63,310,3646,5,5,5,5-5-5,5.0,Champions
12798,Japan,2011-06-22 10:11:00,2011-11-29 15:52:00,11,3,6977.04,8,5256,5,4,5,5-4-5,4.67,Champions
12989,United Kingdom,2010-12-10 13:24:00,2011-12-06 15:28:00,4,15,6924.11,64,2943,5,5,5,5-5-5,5.0,Champions
16713,United Kingdom,2010-12-08 13:01:00,2011-11-21 12:36:00,19,15,6923.13,624,4276,4,5,5,4-5-5,4.67,Champions
13027,United Kingdom,2010-12-20 12:45:00,2011-08-18 09:39:00,114,6,6912.0,26,17280,2,5,5,2-5-5,4.0,At-Risk
16187,United Kingdom,2011-02-28 13:34:00,2011-11-08 09:50:00,32,15,6911.44,295,5048,4,5,5,4-5-5,4.67,Champions
17416,United Kingdom,2011-03-03 13:45:00,2011-11-10 12:47:00,30,7,6893.42,269,4302,4,5,5,4-5-5,4.67,Champions
12705,Germany,2010-12-17 15:58:00,2011-11-24 13:17:00,16,9,6868.29,334,3997,4,5,5,4-5-5,4.67,Champions
12476,Germany,2010-12-13 14:39:00,2011-11-24 12:40:00,16,11,6816.42,233,2408,4,5,5,4-5-5,4.67,Champions
12830,United Kingdom,2011-06-21 10:53:00,2011-11-02 11:54:00,38,6,6814.64,38,9848,3,5,5,3-5-5,4.33,Loyal Customers
15023,United Kingdom,2010-12-05 13:49:00,2011-12-06 17:23:00,4,11,6802.76,562,2871,5,5,5,5-5-5,5.0,Champions
18055,United Kingdom,2010-12-05 10:52:00,2011-12-02 14:25:00,8,10,6784.19,360,2455,5,5,5,5-5-5,5.0,Champions
15601,United Kingdom,2010-12-02 10:39:00,2011-11-28 15:15:00,12,14,6776.56,410,4983,5,5,5,5-5-5,5.0,Champions
16652,United Kingdom,2011-03-11 13:13:00,2011-10-12 09:38:00,59,7,6773.97,118,3283,3,5,5,3-5-5,4.33,Loyal Customers
16532,United Kingdom,2011-01-05 12:37:00,2011-11-22 11:08:00,18,3,6748.8,4,2016,4,4,5,4-4-5,4.33,Champions
13576,United Kingdom,2010-12-01 17:24:00,2011-11-29 15:34:00,11,18,6717.34,126,2646,5,5,5,5-5-5,5.0,Champions
16746,United Kingdom,2010-12-16 11:43:00,2011-12-05 12:33:00,5,18,6697.66,449,4665,5,5,5,5-5-5,5.0,Champions
15249,United Kingdom,2011-03-28 12:49:00,2011-11-08 11:45:00,32,13,6688.46,350,3577,4,5,5,4-5-5,4.67,Champions
16353,United Kingdom,2010-12-05 12:09:00,2011-12-06 12:23:00,4,23,6675.71,94,2006,5,5,5,5-5-5,5.0,Champions
17338,United Kingdom,2010-12-13 12:57:00,2011-11-22 14:23:00,18,8,6643.93,753,3128,4,5,5,4-5-5,4.67,Champions
12626,Germany,2011-01-17 11:01:00,2011-11-16 16:06:00,24,9,6620.48,294,3453,4,5,5,4-5-5,4.67,Champions
16182,United Kingdom,2011-02-18 10:11:00,2011-09-28 13:23:00,73,4,6617.65,28,3791,2,4,5,2-4-5,3.67,At-Risk
15144,United Kingdom,2011-01-31 13:17:00,2011-12-01 15:12:00,9,17,6580.44,217,3050,5,5,5,5-5-5,5.0,Champions
12472,Germany,2010-12-05 14:19:00,2011-11-07 14:01:00,33,7,6572.11,339,4148,4,5,5,4-5-5,4.67,Champions
16814,United Kingdom,2010-12-05 11:45:00,2011-11-25 13:27:00,15,21,6509.1,324,2769,4,5,5,4-5-5,4.67,Champions
12431,Australia,2010-12-01 10:03:00,2011-11-04 11:55:00,36,15,6487.45,235,2906,3,5,5,3-5-5,4.33,Loyal Customers
18223,United Kingdom,2010-12-16 16:42:00,2011-12-05 09:11:00,5,14,6484.54,272,2948,5,5,5,5-5-5,5.0,Champions
15694,United Kingdom,2010-12-02 07:49:00,2011-12-09 09:44:00,1,14,6479.4,78,1677,5,5,5,5-5-5,5.0,Champions
13225,United Kingdom,2010-12-13 09:49:00,2011-12-06 13:29:00,4,7,6463.84,32,3416,5,5,5,5-5-5,5.0,Champions
13102,United Kingdom,2010-12-09 13:38:00,2011-12-08 12:52:00,2,24,6424.09,304,4204,5,5,5,5-5-5,5.0,Champions
13871,United Kingdom,2011-02-04 09:30:00,2011-11-17 10:49:00,23,13,6403.25,336,2806,4,5,5,4-5-5,4.67,Champions
12359,Cyprus,2011-01-12 12:43:00,2011-10-13 12:47:00,58,4,6372.58,248,1622,3,4,5,3-4-5,4.0,Loyal Customers
13668,United Kingdom,2010-12-12 12:35:00,2011-12-07 12:11:00,3,21,6363.59,470,3742,5,5,5,5-5-5,5.0,Champions
13709,United Kingdom,2011-01-28 14:57:00,2011-12-06 10:28:00,4,13,6328.05,336,3516,5,5,5,5-5-5,5.0,Champions
